condition,image,image_id,arrival_stage,class_id,presentations,historical_reviews,current_reviews,first_step,last_step,last_stage,mean_step_gap,median_step_gap,p90_step_gap,minimum_step_gap,maximum_step_gap,last_confidence,last_quality,next_due_clock,mean_lateness,censored_wait_steps,next_review_censored,terminal_overdue_ticks,no_historical_review
srt_h1024,15,00320ec03fcf396df0cab08eed8c09625cd5bd343782efcecc9bf35e417a6b4c,36,140,9,6,2,3842,5191,50,168.625,143.5,352.5,11.0,391.0,0.9953428506851196,5.0,5313,132.125,62,True,0,False
srt_h1024,16,003550a65ddd27b044abbc1b92db11d67afda7717e877a240c25c97f3a891364,8,31,35,31,3,1171,5155,49,117.17647058823529,53.0,265.19999999999993,8.0,1014.0,0.012819881550967693,0.0,5183,84.67647058823529,98,True,91,False
srt_h1024,17,0039c89e161bba5ab30c55de2b8f3acd5c47371d87c04f8ae6e03c4ddeeb4cb0,15,59,15,12,2,1872,5104,49,230.85714285714286,147.0,462.5000000000001,8.0,1015.0,0.9577009677886963,5.0,5132,113.07142857142857,149,True,142,False
srt_h1024,18,003ce30a4547e4d6806fcebc5991d29d16a65e11448ba4b065e79c25a42d5619,4,14,15,12,2,511,5236,50,337.5,114.0,751.5000000000006,8.0,2365.0,0.37507444620132446,2.0,5264,113.42857142857143,17,True,10,False
srt_h1024,19,003cf930092917ae6c3bf841117f22fa28b2dfaf9db43d9bc1666027da76eab9,19,75,22,18,3,2248,5011,48,131.57142857142858,109.0,238.0,10.0,580.0,0.005166584625840187,0.0,5039,106.28571428571429,242,True,235,False
srt_h1024,20,003eda21959a5dd9621e788a79363254c80a475200f2170a286659eda1f85185,17,65,22,20,1,2060,5198,50,149.42857142857142,86.0,498.0,16.0,558.0,0.8418576717376709,4.0,5481,115.76190476190476,55,True,0,False
srt_h1024,21,0040b028857f3d14baf5e4aa1d3b6d5b9472bfeb8c1926ecc58bc445481ef37f,36,141,8,5,2,3843,5206,50,194.71428571428572,104.0,439.00000000000006,13.0,502.0,0.026976726949214935,0.0,5234,186.71428571428572,47,True,40,False
srt_h1024,22,004530b105c7556954a3a46ca23a4a056632a70ee124a73f9cc5ae08a8fdf432,29,113,11,7,3,3174,5094,49,192.0,123.0,362.1999999999999,9.0,733.0,0.9989572167396545,5.0,5563,125.2,159,True,0,False
srt_h1024,23,0045b13806a501dbdc900a90ee2cbb2f3d04715413198f70df7ef59e4ab988cf,22,85,15,11,3,2531,4992,48,175.78571428571428,114.5,408.10000000000025,12.0,552.0,0.05332282558083534,0.0,5020,161.0,261,True,254,False
srt_h1024,24,0046fd21c6a6355dabc243ce28ecdfb3e6d7fafe06ddddf1a09b1d264aa30ba8,45,179,4,1,2,4697,5082,49,128.33333333333334,30.0,279.6,13.0,342.0,1.0,5.0,5198,107.0,171,True,76,False
srt_h1024,25,0048ffb1a5ae8da295b3016321ab8b074cb958372a3b349786700b2bf0621486,39,155,7,4,2,4153,4869,46,119.33333333333333,106.5,219.5,16.0,244.0,0.21863968670368195,1.0,4897,98.0,384,True,377,False
srt_h1024,26,005762a5e5e40f2514ffaf029e10c9117d75a0669876985005466e1bd89ffd59,26,102,14,11,2,2896,5033,48,164.3846153846154,133.0,279.40000000000003,20.0,463.0,0.06479806452989578,0.0,5061,138.3846153846154,220,True,213,False
srt_h1024,27,0057e1d90433edadfcc28b874ca814df826dfa18ac3c72c128334237ce241297,33,130,8,4,3,3569,4952,47,197.57142857142858,123.0,414.80000000000007,9.0,494.0,0.007472184952348471,0.0,4980,171.28571428571428,301,True,294,False
srt_h1024,28,005c62ea7aef752ac1356228c75c266b8a3af9afaf1420c422c09aab10ae3a59,41,163,4,0,3,4343,4398,41,18.333333333333332,11.0,30.200000000000003,9.0,35.0,0.9174097180366516,5.0,4466,10.333333333333334,855,True,808,True
srt_h1024,29,005d2e3e7a73a5e43a76f782fe74b728dd3a17d0420c6fc09e245350a960d07b,12,47,30,26,3,1581,4897,47,114.34482758620689,93.0,210.4,9.0,559.0,0.5185659527778625,3.0,5015,82.37931034482759,356,True,259,False
srt_h1024,30,005fe08b14ad8c2a6f6901d59363a24b3ee6a26e4aebb5705df0ef9b2d638788,25,99,8,5,2,2808,5194,50,340.85714285714283,101.0,807.6000000000004,8.0,1305.0,0.9985874891281128,5.0,7672,79.28571428571429,59,True,0,False
srt_h1024,31,0062051f85c96f6d04994b9958f206457c60c36d0f5dc3437232569d4494e797,20,77,9,6,2,2342,4659,44,289.625,322.5,535.0999999999999,22.0,659.0,0.5602913498878479,3.0,5788,170.0,594,True,0,False
srt_h1024,32,006237b0fccf1041c736040b6fcebaeb1709a4bb74ad54ea0273881bad6dcd11,10,39,19,16,2,1394,4407,41,167.38888888888889,65.5,443.20000000000044,15.0,883.0,0.9999603033065796,5.0,5581,72.61111111111111,846,True,0,False
srt_h1024,33,006237fb4a1827ac8fbe2441e639a5d3ae2939b62bd7dc2121325ab4dfb59fc9,22,84,9,6,2,2531,4680,44,268.625,221.5,546.0,13.0,693.0,0.0012924304464831948,0.0,4708,165.75,573,True,566,False
srt_h1024,34,0068115161729b414fa69d431a0405638c7e43b932d3baec0e24e4fda4e671de,23,91,10,9,0,2627,5198,50,285.6666666666667,133.0,782.8000000000001,23.0,1018.0,0.9758509397506714,5.0,5620,228.0,55,True,0,False
srt_h1024,35,0068673653f6a59dd1385afd96d114cd2861018b6beca92da88bea0824431fd3,22,86,13,8,4,2535,4797,46,188.5,135.0,271.8,10.0,834.0,0.8565468192100525,4.0,5161,134.75,456,True,113,False
srt_h1024,36,0069c8d4cfb67ae46c92dfb6b4b9fc664c4bf44ef1edf1dc8942e6ff13016dea,33,128,7,4,2,3572,4935,47,227.16666666666666,175.5,481.5,23.0,696.0,0.999792218208313,5.0,5979,92.66666666666667,318,True,0,False
srt_h1024,37,0070256f93925bef10c883d8db529bc813178339d9bdedf0b631fe385ffc6621,8,31,19,15,3,1174,4960,47,210.33333333333334,119.5,555.7,8.0,818.0,0.5302675366401672,3.0,4988,106.16666666666667,293,True,286,False
srt_h1024,38,0072e0a4012ebcd13db171217ad657922ba92970e248596b3afd62139a267993,21,80,17,14,2,2429,5236,50,175.4375,89.0,485.5,24.0,638.0,0.9787494540214539,5.0,5304,135.0,17,True,0,False
srt_h1024,39,00740b12bccac570c33225311fdce182e941d9898c0bb8c2985ae8ecfda86592,43,170,8,4,3,4526,5203,50,96.71428571428571,86.0,185.60000000000002,8.0,233.0,0.9998635649681091,5.0,5300,77.28571428571429,50,True,0,False
srt_h1024,40,00755b4b81c95143f478bd216605a828850c560243c8d958547066b84824513f,29,112,14,11,2,3175,5187,50,154.76923076923077,93.0,260.20000000000005,15.0,692.0,0.02857867442071438,0.0,5215,117.76923076923077,66,True,59,False
srt_h1024,41,0077fbf9fb13e3c4e169264361edcd6f0fbff3c7116db69776af12ab792a1cf9,37,144,8,5,2,3949,5247,50,185.42857142857142,177.0,316.40000000000003,10.0,389.0,0.9985972046852112,5.0,5275,159.14285714285714,6,True,0,False
srt_h1024,42,00788aa2ef11c90f71d69478e37fb5c1b75b2947e324298333b0bb2042122c59,35,138,6,4,1,3747,5174,50,285.4,185.0,582.6,41.0,673.0,0.999298095703125,5.0,5202,244.0,79,True,72,False
srt_h1024,43,0079dbcb92f3c59d49735eaaa7ddaaf8ac108294a3f848e0f40a33f0e132beb6,4,14,11,5,5,506,3226,29,272.0,94.0,720.1999999999998,8.0,1226.0,0.998772919178009,5.0,5690,4.0,2027,True,0,False
srt_h1024,44,007c2059002680f8d59908d90a7e2053dec91bbe5054d308df15175e7980438f,8,30,15,10,4,1175,5126,49,282.2142857142857,48.5,1002.6000000000008,8.0,1629.0,0.9874715209007263,5.0,8734,44.642857142857146,127,True,0,False
srt_h1024,45,007f950cf2ab4122542c714796b3189e59aafbaa8f0e6d832eace8f8bd75e33c,10,37,6,3,2,1397,3472,31,415.0,139.0,1016.8000000000001,35.0,1394.0,0.9829487204551697,5.0,7138,63.2,1781,True,0,False
srt_h1024,46,00834c5721c1ec7cecfcab6eec42c9b7382d117ed7ef568f5b24ecdcad46c44c,15,56,8,5,2,1867,4534,43,381.0,277.0,859.4000000000001,31.0,1082.0,0.999504804611206,5.0,6535,134.71428571428572,719,True,0,False
srt_h1024,47,008499a5a0823a029ae188efbc3f3b9b80a3bfe6b84e9ac6db881aceb7e33bfe,9,34,15,11,3,1288,4783,45,249.64285714285714,152.5,622.1000000000003,9.0,761.0,0.8695727586746216,4.0,5719,114.57142857142857,470,True,0,False
srt_h1024,48,00877960aa04108b8033fb23bb2f63e3628ac4565d149b6761d3221f3d533878,7,27,34,28,5,1052,4873,46,115.78787878787878,52.0,240.20000000000002,8.0,1021.0,0.963848888874054,5.0,4965,78.33333333333333,380,True,309,False
srt_h1024,49,008861a8ebb0938f184f2750db32c86bfaf6f7539f8a96b18d00f75d10e80144,50,198,4,0,3,5163,5236,50,24.333333333333332,12.0,43.2,10.0,51.0,1.0,5.0,5352,3.0,17,True,0,True
srt_h1024,50,0089d42e15245d097a04f2341070db55fd95985f5dec39aaaec4e94e7028bc76,33,131,5,2,2,3572,4221,39,162.25,106.0,342.70000000000005,13.0,424.0,0.9999997615814209,5.0,5297,24.75,1032,True,0,False
srt_h1024,51,0089e3681285939314864c195e679d496d450bbd4786977c82b882548962df2a,38,150,4,2,1,4058,4490,42,144.0,135.0,229.4,44.0,253.0,0.9329450130462646,5.0,4902,80.33333333333333,763,True,372,False
srt_h1024,52,008a57c6ee1f4d7f961e5935842e829aeb8fdb7efe1123f1ce60099cb92e86b7,30,116,8,4,3,3272,5033,48,251.57142857142858,144.0,667.8000000000001,18.0,762.0,0.9999451041221619,5.0,6969,82.0,220,True,0,False
srt_h1024,53,008ccc01c08b1e821f3fa45a927fdbbbee06e827feada7e72f1ddb318caa5503,42,167,4,2,1,4428,4754,45,108.66666666666667,103.0,165.4,42.0,181.0,0.997980535030365,5.0,4870,87.33333333333333,499,True,404,False
srt_h1024,54,008f0b55a8033b505758122dfb3d44b7322c321d062bb46db2818375a41a5a3e,32,124,6,3,2,3480,4508,42,205.6,153.0,439.8,10.0,525.0,0.9404907822608948,5.0,4932,135.2,745,True,342,False
srt_h1024,55,008f5d013ec035f2c7d7078d4008b80369b09cf53cb4da345d37d592aabfd4e6,32,125,8,3,4,3476,5035,48,222.71428571428572,36.0,550.0000000000001,8.0,811.0,0.04377221316099167,0.0,5063,209.0,218,True,211,False
srt_h1024,56,008fc2d92cbfdfff8f6f2136d50313cceeb2d32e568b47541062d5332353bd61,14,52,17,14,2,1775,5157,49,211.375,142.5,298.0,11.0,1291.0,0.9820719361305237,5.0,5413,138.75,96,True,0,False
srt_h1024,57,0093630aac93d3e95a9cd420ea657399b9812fa96728ef84314e766fd500015d,36,140,8,5,2,3843,5091,49,178.28571428571428,82.0,375.0000000000001,30.0,519.0,0.1523188352584839,1.0,5119,158.85714285714286,162,True,155,False
srt_h1024,58,0093db7ba5c30a7819ff920bf0ea148ea61b2df2a0295bfb31924e198351425e,7,27,9,4,4,1055,4799,46,468.0,84.0,1302.8999999999996,8.0,2348.0,0.9619601368904114,5.0,11475,12.5,454,True,0,False
srt_h1024,59,009665c1a29a0641be710a7729fbfe5c8af09d74c545224db94c23195d0c6231,49,194,3,0,2,5075,5135,49,30.0,30.0,45.2,11.0,49.0,1.0,5.0,5203,22.0,118,True,71,True
srt_h1024,60,009797045559e57c8cef0e4816e0d3577b3e7dff68545e1e2901c6fd0e34abe7,45,177,5,2,2,4697,5010,48,78.25,75.0,136.9,12.0,151.0,0.9153964519500732,5.0,5038,60.25,243,True,236,False
srt_h1024,61,00a84930fd25dc756e5e264abfc926224d251e4eb76c4b2516cf2f03a598a07a,13,50,6,4,1,1679,3436,31,351.4,222.0,743.4000000000001,55.0,1017.0,0.9983776211738586,5.0,6048,68.8,1817,True,0,False
srt_h1024,62,00a93855901f0cfdab767f6d2b7c7a9095a27536b4a1f4a0c29d8415fa021c6e,10,38,25,21,3,1395,4182,39,116.125,90.5,179.7,11.0,637.0,0.9647026658058167,5.0,4291,85.83333333333333,1071,True,983,False
srt_h1024,63,00a9a5bc054b78a7788782fb44069ea6001568fbf705f84097cc02ec0a5e63dc,6,23,9,5,3,889,4596,43,463.375,144.0,1265.4999999999998,9.0,1976.0,0.6090741157531738,3.0,8465,29.25,657,True,0,False
srt_h1024,64,00ac39053665ad927c7e2f126ba1e4c2a3e9b05f27b8b92157080816b2638373,27,105,9,7,1,2985,5217,50,279.0,198.5,575.4,59.0,602.0,0.9992306232452393,5.0,5686,213.5,36,True,0,False
srt_h1024,65,00ad5c8215f4fdeb928e8c624291db5060f20504fe3e67bccb6f1ed0e3e34cc2,33,129,8,5,2,3569,5122,49,221.85714285714286,109.0,487.20000000000016,10.0,738.0,0.999809205532074,5.0,6160,65.14285714285714,131,True,0,False
srt_h1024,66,00ae155dd2921c222fb54c45fd1d4e00490e6b32185f54a84c200746096014d5,31,123,12,9,2,3387,5215,50,166.1818181818182,126.0,253.0,12.0,723.0,0.8452333807945251,4.0,5283,150.9090909090909,38,True,0,False
srt_h1024,67,00b195c6b42c2b13b4bbd5c4f020d0eaee6063967e797600156991289a8f3e87,48,189,5,1,3,4983,5130,49,36.75,21.0,73.50000000000001,9.0,96.0,0.2955681085586548,2.0,5158,18.75,123,True,116,False
srt_h1024,68,00b3745f898573f06fd91f8a3f94db11d2f573607612cf795fe2f4306b96c9a8,9,35,31,28,2,1289,5060,48,125.7,49.0,392.8000000000001,8.0,814.0,0.19950762391090393,1.0,5088,73.33333333333333,193,True,186,False
srt_h1024,69,00b955390cd439cb64af3b65c5133a2c1e508bf7fc85352dfb5337a0475df833,12,46,22,18,3,1583,3969,37,113.61904761904762,72.0,278.0,10.0,471.0,0.007146581541746855,0.0,3997,86.19047619047619,1284,True,1277,False
srt_h1024,70,00ba3fe8756018db17041c67f3c06fb1ba2a0ceed0a4364d0c0102eaac0607cb,34,135,7,3,3,3662,4831,46,194.83333333333334,131.0,439.0,12.0,604.0,0.8436284065246582,4.0,5744,63.666666666666664,422,True,0,False
srt_h1024,71,00bae5e00bd87db3381fa3edfc939b9fb8293a71e91c049ebc680e14b54bc973,30,116,10,6,3,3271,5062,48,199.0,146.0,452.8,14.0,592.0,0.9904791116714478,5.0,5130,156.66666666666666,191,True,144,False
srt_h1024,72,00bb0689c86c713310f1480273d5489f30af45d9cd2610941ed32289e50c4d6c,6,22,9,4,4,893,4750,45,482.125,84.0,1328.9999999999998,8.0,2512.0,0.9654882550239563,5.0,10731,51.375,503,True,0,False
srt_h1024,73,00bb8f5e09b0045395b6374561c6f56099ca3f428b53ca23d0ad4314afcd091e,30,119,8,4,3,3270,4558,43,184.0,86.0,445.60000000000014,11.0,688.0,0.03710360452532768,0.0,4586,97.14285714285714,695,True,688,False
srt_h1024,74,00bded641e2c7fc38c29ad43c3259367aebed4bf4df67c39123f44980e208aef,36,140,5,2,2,3843,4521,42,169.5,129.5,356.0,15.0,404.0,0.9999993443489075,5.0,4743,129.5,732,True,531,False
srt_h1024,75,00beaf84cc1128764909ed706d9cebe38c79a4e97349be04f01c71ec374d2a31,30,116,14,11,2,3268,5184,50,147.3846153846154,83.0,353.6000000000001,10.0,502.0,0.9978176951408386,5.0,5281,127.07692307692308,69,True,0,False
srt_h1024,76,00bf58cc2ea2d95a4d839aafccee8f529be071b12ee346dba5bc1227c6f28cd5,31,122,12,6,5,3387,5117,49,157.27272727272728,93.0,371.0,13.0,686.0,0.566801905632019,3.0,5145,149.27272727272728,136,True,129,False
srt_h1024,77,00c1bc4197e64278220c573f3a1d67a3ae0a2ac2b5a7fc6d57ab11770d31a5c0,19,74,17,14,2,2246,4932,47,167.875,104.5,365.0,11.0,575.0,0.9980593919754028,5.0,5150,126.5,321,True,124,False
srt_h1024,78,00c6dd8eb40a5f4df9810e7fb7ce8b90d1c75952d0b394f7e4fb90c2bb0c2010,25,97,13,9,3,2808,4902,47,174.5,144.5,319.9,16.0,519.0,0.7566012144088745,4.0,4930,140.25,351,True,344,False
srt_h1024,79,00c9700ed14341ce9eba6197a4d89a23b466e68e38d857b01b2ea401e76981ec,4,15,11,5,5,505,4456,42,395.1,104.0,1030.5999999999997,11.0,2053.0,0.9983660578727722,5.0,8626,20.2,797,True,0,False
srt_h1024,80,00cae5e94975a657de8477f22ae1d67fdcb6daa0a0b9bf5383faf601d35ebee3,10,36,32,30,1,1397,5211,50,123.03225806451613,49.0,331.0,8.0,720.0,0.8846680521965027,4.0,5239,106.3225806451613,42,True,35,False
srt_h1024,81,00ccf59ff795bdcdd6c3d14df62f9ebea742fbb863556f9e2205b3a5b4b057fa,22,84,12,9,2,2537,4733,45,199.63636363636363,132.0,435.0,22.0,718.0,0.9917305111885071,5.0,4761,155.54545454545453,520,True,513,False
srt_h1024,82,00d315ab38449a3713adaae28f93856bf32708667bf719a2688700afe40d0bb7,17,65,19,16,2,2066,5032,48,164.77777777777777,115.5,320.00000000000006,18.0,400.0,0.9002383351325989,5.0,5129,123.11111111111111,221,True,145,False
srt_h1024,83,00d72305e425b68fbd098ced6f844442124dc74633ee5a560c684c144604b833,37,144,5,4,0,3946,4995,48,262.25,290.5,431.5,17.0,451.0,0.06472545862197876,0.0,5023,244.25,258,True,251,False
srt_h1024,84,00dbea4cfc118daf33d5337bb186af59f733db7508b1ad5c7640e2f3eaf2f8d9,21,81,11,9,1,2434,4645,44,221.1,148.5,595.9,20.0,766.0,0.9950093030929565,5.0,5383,123.9,608,True,0,False
srt_h1024,85,00e09df7e569348591ed6b29bf12a10f552b14dbd5e70f8e164ecc91f7565afc,49,195,4,1,2,5074,5199,50,41.666666666666664,22.0,77.2,12.0,91.0,0.0840369239449501,0.0,5227,20.333333333333332,54,True,47,False
srt_h1024,86,00e2799e2c1bddb260871ead3fd94328f59076624b8de476b85230bc5eef57b4,48,190,3,0,2,4982,5063,48,40.5,40.5,56.1,21.0,60.0,0.9993975162506104,5.0,5131,32.5,190,True,143,True
srt_h1024,87,00e2fe7bbc82c7d5650024a7424b5a2d5e1fe89b22492debe9c054f9c8c2e2f4,48,190,4,1,2,4982,5231,50,83.0,64.0,144.0,21.0,164.0,0.9935356378555298,5.0,5643,19.333333333333332,22,True,0,False
srt_h1024,88,00e376cee6ca800faf44dbb52521a310059df4ebd903c3b0bf2ac2e92ab7b45b,10,38,47,42,4,1397,4871,46,75.52173913043478,32.5,204.0,8.0,485.0,0.09130023419857025,0.0,4899,67.52173913043478,382,True,375,False
srt_h1024,89,00e9a13cca7cdb6c0d0cc42c5696e69801a824ff915367bd5fdbf0be11a5fd7a,24,95,15,10,4,2725,5063,48,167.0,68.0,516.8000000000002,10.0,608.0,0.8324704170227051,4.0,5091,152.21428571428572,190,True,183,False
srt_h1024,90,00eb7e2b0388371b60b07f4c0a5d2071a5a9556496de66c926a9971172dd32dc,17,67,18,15,2,2059,5241,50,187.1764705882353,101.0,483.80000000000007,12.0,727.0,0.9828669428825378,5.0,5309,108.29411764705883,12,True,0,False
srt_h1024,91,00ebf4ed94b20c3abc3145bacb123689ff45a1734bebf5dfbaaf5bcc6a4ede5b,46,183,3,0,2,4788,4827,46,19.5,19.5,25.5,12.0,27.0,0.6055723428726196,3.0,4895,11.5,426,True,379,True
srt_h1024,92,00ee8420b12e518654c4dbf92e3012daf44fed07e03bc17678842378e5449ba6,23,89,12,8,3,2626,4083,38,132.45454545454547,63.0,329.0,8.0,462.0,0.2728790044784546,2.0,4111,124.45454545454545,1170,True,1163,False
srt_h1024,93,00f07a0df0313f2fffb3db7202b2097a26818e967237239971d9326f5e495f53,19,75,8,5,2,2246,4628,44,340.2857142857143,126.0,868.6000000000003,15.0,1324.0,0.9966519474983215,5.0,7106,78.71428571428571,625,True,0,False
srt_h1024,94,00f2dcecca9d50877caf81b5f2030222c71fdac05f88ef2a257a790011d99a95,4,13,38,29,8,505,5185,50,126.48648648648648,82.0,279.99999999999994,8.0,508.0,0.20519231259822845,1.0,5213,65.32432432432432,68,True,61,False
srt_h1024,95,00f719cea74b0a61ed8707a52f067cf1c5859fce94d8f3d0d8ab1a84cf9a169e,35,139,8,4,3,3745,4841,46,156.57142857142858,146.0,355.2,9.0,372.0,0.811845064163208,4.0,4869,148.57142857142858,412,True,405,False
srt_h1024,96,00f86cd15ad3fe8535ac00f8b7869a4f991a903526d583b5bf65048f2d4a303d,47,186,2,0,1,4889,4930,47,41.0,41.0,41.0,41.0,41.0,0.9999885559082031,5.0,4998,33.0,323,True,276,True
srt_h1024,97,00fc9b544094c3be429871a6c7fc0b8157794680c2a8db242513fcfe808f642d,45,179,4,2,1,4701,5181,50,160.0,192.0,229.6,49.0,239.0,1.0,5.0,5593,96.33333333333333,72,True,0,False
srt_h1024,98,0100d5ab62d8f53c5646d89384a3d9e5f332ffbe106e8cdb6857499f6d568c4f,49,192,3,0,2,5073,5145,49,36.0,36.0,52.8,15.0,57.0,0.8870447874069214,4.0,5213,28.0,108,True,61,True
srt_h1024,99,010229ec14f6ad6ba7a2a3a8d6bd103d3d0f08146adf9518659000bb2dfc4437,36,143,9,5,3,3844,4929,47,135.625,112.5,265.0,8.0,335.0,0.01893746107816696,0.0,4957,112.125,324,True,317,False
srt_h1024,100,010677bcd3fad67885ada9aa7b97a3a8a3ebf719b2a1817b6c00e03a5dcd9a43,6,22,32,28,3,891,4892,47,129.06451612903226,48.0,310.0,8.0,1009.0,0.06111085042357445,0.0,4920,39.774193548387096,361,True,354,False
srt_h1024,101,0106e368b3cac5d4998849d85bd96be3ba69216062faa1d41f433b2c37c20f7d,32,124,7,3,3,3480,4733,45,208.83333333333334,155.5,461.5,8.0,674.0,0.9868756532669067,5.0,5777,74.33333333333333,520,True,0,False
srt_h1024,102,010870b697442bd8c58201ae8ce188df0cac2ebb0469c391f529df200c66a34a,19,74,12,9,2,2248,5111,49,260.27272727272725,148.0,775.0,21.0,864.0,0.7029966115951538,3.0,5139,242.45454545454547,142,True,135,False
srt_h1024,103,010878032ffb2f8aa420e16e5e3f0ea311ceab145723512836918103d9e0bde5,9,32,24,20,3,1291,4829,46,153.82608695652175,89.0,314.8,8.0,900.0,0.7280282974243164,3.0,5019,70.6086956521739,424,True,255,False
srt_h1024,104,0108b07fbcfc61c6109e3fd7c05906218fa9b89cebf57d0bae3e92c017789e6c,20,78,18,13,4,2343,5206,50,168.41176470588235,103.0,447.80000000000007,11.0,739.0,0.1859147548675537,1.0,5234,160.41176470588235,47,True,40,False
srt_h1024,105,0108e1df3f0ad3a24c4d0d2333f30da405e77ddf304364999b3c355bf701d537,49,194,5,0,4,5071,5156,49,21.25,12.5,41.50000000000001,8.0,52.0,1.0,5.0,5184,3.25,97,True,90,True
srt_h1024,106,010b42fe44d4c281c9c4b7d73a6f2240f6abf783bb87a1ce569ad0fc946c3bc2,29,112,9,6,2,3175,4456,42,160.125,124.5,296.19999999999993,9.0,516.0,0.33652183413505554,2.0,4484,142.125,797,True,790,False
srt_h1024,107,010f53e0a3060f1f47a542e9e6b422a9329ce51ea490077a13be50774cfb66cf,30,116,9,5,3,3276,4901,47,203.125,116.0,485.5999999999999,10.0,725.0,0.7993922829627991,4.0,5241,138.0,352,True,33,False
srt_h1024,108,011156c3ff1b43976866be6060f7bcb7beb578a4b680982fa3ee2f70f8cd45a0,21,82,7,4,2,2437,4163,39,287.6666666666667,216.5,611.5,10.0,845.0,0.9997049570083618,5.0,6494,66.83333333333333,1090,True,0,False
srt_h1024,109,01124fde3a7831a93c28942373a78a3abeccb5da747139c6f96eaac8c981c5b4,29,113,7,4,2,3174,5021,48,307.8333333333333,246.0,643.5,16.0,804.0,0.9983924627304077,5.0,6667,130.16666666666666,232,True,0,False
srt_h1024,110,01138d49f91856a0ff65b2decd1a29642b669c5b8850f29f63ea7594fae39a80,16,61,22,19,2,1961,5221,50,155.23809523809524,104.0,315.0,15.0,498.0,0.9938420057296753,5.0,5318,131.66666666666666,32,True,0,False
