stage,slot,represented_task_capacity,node_hash,entry
23,2,4,f77a0edf5e1d6047ab5b7b6b83126efb03eb08858e794de45b3eff1c560020c0,continued
23,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
24,3,8,38b7d99a550fdc2ef2fd8ce01d7d2ad5eee4eb373b6d0ee4b746da2aac7e6cfb,source_reset
24,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
25,0,1,11fa16e46a1c726e41065f57c0f5189b5a78456a8db4cf4951ef57d30b524467,source_reset
25,3,8,38b7d99a550fdc2ef2fd8ce01d7d2ad5eee4eb373b6d0ee4b746da2aac7e6cfb,continued
25,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
26,1,2,69ffd209fe83487fc5d48636c4b0737bf1bcf74c1713674d3e6bb5b3e10ffbb1,source_reset
26,3,8,38b7d99a550fdc2ef2fd8ce01d7d2ad5eee4eb373b6d0ee4b746da2aac7e6cfb,continued
26,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
27,0,1,25157469aed3883ccde551fb082210801cba40b8c7847cea164935b136e04d67,source_reset
27,1,2,69ffd209fe83487fc5d48636c4b0737bf1bcf74c1713674d3e6bb5b3e10ffbb1,continued
27,3,8,38b7d99a550fdc2ef2fd8ce01d7d2ad5eee4eb373b6d0ee4b746da2aac7e6cfb,continued
27,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
28,2,4,7d76c4b92781eeabbde3a2974de10708439219959df6404ecc95f3200ae11e9b,source_reset
28,3,8,38b7d99a550fdc2ef2fd8ce01d7d2ad5eee4eb373b6d0ee4b746da2aac7e6cfb,continued
28,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
29,0,1,513f98a35a7262ae2f9b390c1f288640a11e138de2d5bac44945c57b14a55877,source_reset
29,2,4,7d76c4b92781eeabbde3a2974de10708439219959df6404ecc95f3200ae11e9b,continued
29,3,8,38b7d99a550fdc2ef2fd8ce01d7d2ad5eee4eb373b6d0ee4b746da2aac7e6cfb,continued
29,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
30,1,2,ae57a8bc4b22c2fc33c490fbac86527cd6c15444e1655fbc21ddf03138b0ef79,source_reset
30,2,4,7d76c4b92781eeabbde3a2974de10708439219959df6404ecc95f3200ae11e9b,continued
30,3,8,38b7d99a550fdc2ef2fd8ce01d7d2ad5eee4eb373b6d0ee4b746da2aac7e6cfb,continued
30,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
31,0,1,60ba48718f54651ac5b8d2fc889c5e0a3984acdc46f4683f3840c86e22c80162,source_reset
31,1,2,ae57a8bc4b22c2fc33c490fbac86527cd6c15444e1655fbc21ddf03138b0ef79,continued
31,2,4,7d76c4b92781eeabbde3a2974de10708439219959df6404ecc95f3200ae11e9b,continued
31,3,8,38b7d99a550fdc2ef2fd8ce01d7d2ad5eee4eb373b6d0ee4b746da2aac7e6cfb,continued
31,4,16,b66fdc8bba5aa50841076ecd4967d77beb3a140203ce07430cf086c87bfcf625,continued
32,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,source_reset
33,0,1,ce0fb46b191b5dc58c10e54b46893f75be166d65e18deb47f3c659385cf57fbb,source_reset
33,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
34,1,2,d6b604d6ad80766151a22a7418a9a8f15be62e757e419c21ecfa0e4a4694c8d4,source_reset
34,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
35,0,1,a6e2d052a82e323c0a8e28d8606cca866b1e93f34b096fc19c9846a33ee7d27b,source_reset
35,1,2,d6b604d6ad80766151a22a7418a9a8f15be62e757e419c21ecfa0e4a4694c8d4,continued
35,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
36,2,4,d96e9e4dbd596991a34dc0ab5e1a41ec3d2903b5eac1a967f43922aee4c3d110,source_reset
36,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
37,0,1,c766c82f2adf04877f2853d64ac775d18beedde27f3cdf7760a287489e7fb6b5,source_reset
37,2,4,d96e9e4dbd596991a34dc0ab5e1a41ec3d2903b5eac1a967f43922aee4c3d110,continued
37,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
38,1,2,339b619dc02db029c020e8b817bff22cecb84fac51ae23df9994201c00d260b4,source_reset
38,2,4,d96e9e4dbd596991a34dc0ab5e1a41ec3d2903b5eac1a967f43922aee4c3d110,continued
38,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
39,0,1,21b800b3d9e0a41e515384f7fc6b7aee4586008fbc6438b4d1d8481229fa9df4,source_reset
39,1,2,339b619dc02db029c020e8b817bff22cecb84fac51ae23df9994201c00d260b4,continued
39,2,4,d96e9e4dbd596991a34dc0ab5e1a41ec3d2903b5eac1a967f43922aee4c3d110,continued
39,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
40,3,8,c5640cb1bb2aafe597da54b74a67c2d8b06f65906b7bfce8f26012b513414e6e,source_reset
40,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
41,0,1,b80b2a92eda235a6d9f5ac7f5df0283418dd21dc7d8fe697193bcecf325ecbeb,source_reset
41,3,8,c5640cb1bb2aafe597da54b74a67c2d8b06f65906b7bfce8f26012b513414e6e,continued
41,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
42,1,2,d21ff6cdb450855922c7c372d30ee979c88ed3600470e716abc2446313b5454a,source_reset
42,3,8,c5640cb1bb2aafe597da54b74a67c2d8b06f65906b7bfce8f26012b513414e6e,continued
42,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
43,0,1,140fd7e064cdcecf9cdeb56b7ff3ac5a1268c206cf872422b870bccb56df0212,source_reset
43,1,2,d21ff6cdb450855922c7c372d30ee979c88ed3600470e716abc2446313b5454a,continued
43,3,8,c5640cb1bb2aafe597da54b74a67c2d8b06f65906b7bfce8f26012b513414e6e,continued
43,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
44,2,4,28a96c462bf707906d601900cae9b06c8152273dc3f6719b3774d5388ddc6aa4,source_reset
44,3,8,c5640cb1bb2aafe597da54b74a67c2d8b06f65906b7bfce8f26012b513414e6e,continued
44,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
45,0,1,b77a9d29d524afc7858964c2c4b978b5293d3b134cc62a1b5a64befdcfa9abdf,source_reset
45,2,4,28a96c462bf707906d601900cae9b06c8152273dc3f6719b3774d5388ddc6aa4,continued
45,3,8,c5640cb1bb2aafe597da54b74a67c2d8b06f65906b7bfce8f26012b513414e6e,continued
45,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
46,1,2,e97cf3522b9ea5171d186a9a2f2c0294431529078f893333478fa3fe6dce9a69,source_reset
46,2,4,28a96c462bf707906d601900cae9b06c8152273dc3f6719b3774d5388ddc6aa4,continued
46,3,8,c5640cb1bb2aafe597da54b74a67c2d8b06f65906b7bfce8f26012b513414e6e,continued
46,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
47,0,1,26bc0b608c508fea10b1d17ad393b7f19fc5619ba3774935c1f3dab5fcb6dd3f,source_reset
47,1,2,e97cf3522b9ea5171d186a9a2f2c0294431529078f893333478fa3fe6dce9a69,continued
47,2,4,28a96c462bf707906d601900cae9b06c8152273dc3f6719b3774d5388ddc6aa4,continued
47,3,8,c5640cb1bb2aafe597da54b74a67c2d8b06f65906b7bfce8f26012b513414e6e,continued
47,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
48,4,16,b95f67d69e4a6c9d10920119750a94fe3468683bfeca2295112438ba3ff192bd,source_reset
48,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
49,0,1,56d575f942a89fd287ae051a8841afb70e30483db4d921dd51ad1ce4609b6ab1,source_reset
49,4,16,b95f67d69e4a6c9d10920119750a94fe3468683bfeca2295112438ba3ff192bd,continued
49,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
50,1,2,fa643a5e0d31559e18bd0ee4b8557da87cd1e970a76c62f07fc8b49b8609a942,source_reset
50,4,16,b95f67d69e4a6c9d10920119750a94fe3468683bfeca2295112438ba3ff192bd,continued
50,5,32,58d626c4a76fd67960ee1364faac17a2c3685f5dafbe670a8414d23ff724f885,continued
