cumulative_historical_unique,current_examples,current_ids_hash,historical_capacity,historical_examples,historical_ids_hash,historical_novel_since_previous,historical_overlap_fraction,namespace,sampler,sampler_label,schema_version,stage,training_examples,training_ids_hash
4286,316,96d77dae9a0fffa4ba687b756ff809bff61f8b2424db0793cdaed68f3417609f,8192,4286,6c2974af0c435d96f01765a9d1764825ad476a7807c8963c334db995c5f63af3,438,0.8978068128791414,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,11,4602,9157e35631345efddbe31a108068f9621d4780a465adf41a7d096ba9c3336cff
4602,368,3db84bfcaac94f684cfd23987cd5daeaa7e4eca582e6b1ba0560252a8c36f883,8192,4602,93dcec7d69d613348ffa3786d130ffd99385559d6cee5d4eba2a2fe7f0faf1c4,316,0.9313342025206433,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,12,4970,c7410969bf0849ff05582b2273207e2a2289229f8eb392f505c3a1550a3266b2
4970,409,75bb746f522e5c3914e60058d8d6ca4d1d338219b48284ffc870bcd39ab26357,8192,4970,162b71d4723bc409223d7f9e418759bbc806ad976c1d1a385957d3437961db0d,368,0.9259557344064386,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,13,5379,39b2f92e614e95291836f3f27765e806ec7e9ea5ac11daa79bdca5cb1b63d3bb
5379,420,2c97821b01cdb7e231cb8065f45bf9fd3bbdac0e8381fb4849832a808e894360,8192,5379,6d2d4d145196d65d7c6336faf553e095f846d185cdf86a55866355e063482d06,409,0.9239635620003718,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,14,5799,c90d2326f344a6c19462740df6f6fba6e642435501bbcba80bc730fd7274b123
5799,372,a78d40395af9f44b6e49cb1b42808959c4945b60f1d1b4b83cc1b8c42ade9858,8192,5799,0fc2bae4553bd577a5ed5d36bc9e245ec0e52b4a6559cf96b68ca6812bbde027,420,0.9275737196068288,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,15,6171,d358f17de97ece7417e51f481b84ada23fcfcec06e82541957848601dae88927
6171,423,63c3f49df4997c7866a2c0d07f737adfdbe6cec5ee76ba2e79fdc4ef49b82098,8192,6171,345764d707851c7600601679090a3b129e126650a0648d4749a6775f13bd6809,372,0.9397180359747205,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,16,6594,e2e68ddf0ae9b61552046effba70713b35771d268afe12139eb83e7a67c7f6bd
6594,399,a2d26c0323f048998a5c8391b365c24b651d85d55cc0b959b4b15834bac6040d,8192,6594,96f94e52af1d0e960f105c172cb3dbb771eb3ee4a9be332d6cee2a90684df507,423,0.9358507734303912,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,17,6993,702b2fbbd0daa9c2d6d5c5ad4fb9a1eb1b6be86dd51e0090de787fc35c56258a
6993,338,a1f4733a6bf53b26b1c7964aa3b93f4b234bc594786979ba1ba2689b0f88e1b7,8192,6993,1d6300c4f9e29537644dba02f260c820657bffb32dfd107dc14bcd2463a66b0f,399,0.9429429429429429,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,18,7331,56c3d57b37f7b73564df1a9d898f9ed400507719d977bd20afb58d2e39f66b13
7331,346,cbcce0e7f98f70c0fc112a3815a7793a779c4b084995cc3a6c7e257f8e9fe87c,8192,7331,76e01e2fd2fd1c3fc0088a0852e2778b1017fc675de93fc9e467fb48dbecda27,338,0.9538944209521212,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,19,7677,d319a47b08ed80ad10a513c5428997a1c86b7fd824a08ed955ef37f1b4c35c9f
7677,324,888600833f4a1cf1c130f98932e06541205a725cb1841b7aad4bdef18b33999f,8192,7677,ddfc68bcdeadf6384da9be3ffbdaabef6bf664dd11b7c4de6245f7d18cdbd8b7,346,0.9549303113195259,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,20,8001,e647622e6894f19ecffd5cd346d0ca85111828c07c0883a028169cb5abdce119
8001,463,3742e9506218a02324151343b6632f0c05d4bb910fd1b41fd07137b79ed7a311,8192,8001,fbd523b4f8a47c10e33757f3e7c54e45dc6a9ca756efd8fead55e2e5ab72684f,324,0.9595050618672666,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,21,8464,aae7a5102a64d276f6c47a97bbb2cfef24b742c6bc0d311f87590e5ff24498fb
8449,384,b5e98609faef0db5e18d77cb65ddea68226c20b83f3527416062e1faddccf19d,8192,8192,ecddb41958a231e6da8fbe66b0f5ae325f0b28de23b9ffe6aefd62a362d6d3d6,448,0.9453125,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,22,8576,df3cd438a1fd4646175499d0073d4637e292a3579700bdb3771697ff30c536e9
8805,374,e09f1cba33fe49cf6b9c054ef08e4b49225b13c60df4d68ba58ce1b288310d82,8192,8192,b8a3dba620c6d118cd730930190591eeeff35651141852442ed4f3b9247cc335,356,0.95654296875,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,23,8566,690988d40a1abb1e20bed130d8c089c011506d881455b5f1929bfee578874938
9137,274,68c6a9429dcd0b9aa4f66af9209723d3ff052bcbb86691cd0ba784b81cd25f29,8192,8192,f016d50c3b05fc4b1723784b39f6cf64b80dd27f033cdcec150cd198dbb14f0a,332,0.95947265625,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,24,8466,8b134eae0cf33dfe03714dc8ad064fe410f198d00d86c9d4210e370311f68ab5
9373,206,68aa402acd72778314417388df2025423647074f95156d517a0ac11e564545ec,8192,8192,807bde52f96f3aa576fe6ff9274733d92eebde9f17271f80347563c1a5312b0e,236,0.97119140625,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,25,8398,b8dba19ea29a1ee38c5d2772e20dfb695da4ee7349e1ae0c0d3d9da757d62c89
9547,394,79533d722609cae849818b460101f37e3021e1829ee3d4f90a384ce2bb765b46,8192,8192,2af924fa754c857796c564c70a388f71eabbb1f3ccac502b75adfe947e0dc5f0,174,0.978759765625,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,26,8586,3820b1533df9bcbd6f2468d927585297872724be561322a38e8e11797c95c483
9867,359,146964825cb0e8d39c16465d0d398a2df17dd1b6aefdf7b36b6cdaac3360e6cb,8192,8192,11b1180f0fc9007ab2debd9c3984be2158a423bd13e4024417682d8069f3aae2,320,0.9609375,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,27,8551,f7e889f89e76e2bd051aca72f191e6fd2f0981327cbefc4540817bd1750f2691
10148,323,0853934da4439f6b07d722bb1bda873b1a9c31e5c034713d88eeb3cee34aa61f,8192,8192,c26831bf41397354fbbd1e4ac3971d1c89c96bf12ad14d5b38ff1f63069f344a,281,0.9656982421875,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,28,8515,63109a70926cc1e2c0ad626e0f46da217daf50377b9b631b98e2c923abea5441
10393,364,be245ad24603d5ba0b8f8bb11e6d92a9da7155c609f9cd0dd991be4f45d97a4d,8192,8192,8f0c6eff4376e5540a26328ac4fc177c5f471906495112d7a31f99b395224791,245,0.9700927734375,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,29,8556,586eaf9dd186e3cc15f0f4458ed693448025d5cb81d8a61f99b6f74ce57bea12
10661,685,2ae6d5daa6f8a4f81d4be883b6e23d95f5f84bfb70eb0eb0ebbbdb181913ca16,8192,8192,301edff40df3734d28c43aecce79361adb214f5ee47fef06972d09e5ddd7999c,268,0.96728515625,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,30,8877,b2e7d537cd75a250b278bb2754e6a21656c0365d1636f99c9729c5d46985bee3
11134,367,607f32e6a8cd2f0ea7b89e7715bd187a38390a1eb07524e3ef127dd016eed50e,8192,8192,173cc9e300619d1636c660df66c87c1458b0a2cae8a005dfbe2ff773debfeab1,473,0.9422607421875,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,31,8559,9fb719900650224765ddfbc3d9c643f7e5d683570fba29ec41b5c447e2ac5a5d
11381,326,52e06007d9e2afac5b9b3a234a6a29fa4dec9abac93be8ed2c7b420a0b074668,8192,8192,60411b46f79cbe3d6295e8421a8ad4e84ae610c277325d6ff711a0d8ebed5b04,247,0.9698486328125,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,32,8518,7e950c1327033510d3918c19790f1e695eb02a76a5850a49726f2e8f3a361832
11595,354,1c1f05dcc8fc57fb38217516edb65e8ece6e99df11d58ed6df60bdcb3e2e707f,8192,8192,cc5cb68e413355500654f9171c1fadc535f605d944b374600123a59e6fb7feec,214,0.973876953125,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,33,8546,189fa4cff7a825da56626660faca460f63ebd11d726db10b236d8ef121c95bc7
11820,225,234aa8e89194f9131372a85cd3e764913264895f492855759cb26ff1fe73d7f1,8192,8192,8fe5b1f90d4be2773e972750565f0edc8a3ad3c70a0023a64185db75c626f644,225,0.9725341796875,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,34,8417,b615fa9900fa009a2349d85924acaba1e4345d4f4c2a76fbae4acaf1b776aab6
11962,451,4d06e22c94ee6c0df64be5276da1fbd687745bad4450b2bd119303a3b74d5805,8192,8192,2a55f4399a9f38ff67c1ba1110a33b83fdd01ed380debab3fc58a27ed6666b73,142,0.982666015625,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,35,8643,57cf70531338456511e3bf431cc3eff71fcef11f9924953a6ba0cc4254fce098
12235,496,1eaf15a1b4ccdb525030a0e85f0c4f444ef637e336ce357616665d81f894d07b,8192,8192,a542746fc99cf42b0186d901056a60d46dc93b70932ae0156732d2031980ff06,273,0.9666748046875,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,36,8688,fcaeef9c9cbb447993dbf875c4788619e989f69251aa9379a8c2e142adea2ced
12524,506,3d1cda87d218b5c4cb80af2905a7052f129224916067342ec1fc5af558cd5d3e,8192,8192,99132db4c0218342527cf7ee47e3f2a567de0e83a5e0b572a751e924ab28534a,289,0.9647216796875,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,37,8698,20acc65540a83bbd8802238a4ee5cb6d938517fbf87fab53b70d3fd6dfc118aa
12809,461,3e9d2ab596681b97967e218381385c48dbceb644319713bd0240cac5809b7ae4,8192,8192,e1dba88333b289b45fd16fa338a655f208492076e4cd05a80b87afd93728be35,285,0.9652099609375,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,38,8653,608b92f737c16bc3ac2688963287d268c9b61a276207771934fb693da12e74ac
13060,367,feba9ffad99d487964c4a49a3a07ee62c3b5ad03499b8ada07fc710f8971e8eb,8192,8192,3b49c26b160ce448d6b0ba99269b666dd5f70795771d35ed7f66d7a420a31b93,251,0.9693603515625,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,39,8559,f397042fee246fa5f3dd9ee6570477046a52a8f92188aaa905089e5317d4c620
13256,444,3225675c303b42083e3e51184353a405e231dff139c4430cfdfb7adbf9afb106,8192,8192,b38cf626ad33ac56c4012b911df890a79b12a8db549bbb85b14ae5b240f13371,196,0.97607421875,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,40,8636,c2e39f3f5a0e3e7b049fe46068f9cf9d282a5b4bb03500490259895f987d64c0
13486,237,7df2f0ea345165582fc6554216a0dd04135c6cda8d3c9c1189c02c54e6ab7143,8192,8192,2e4da395532838011676d7d66f36c9b6fb28d33afbf795433f97435c1a2a847a,230,0.971923828125,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,41,8429,85afa33fd68dc507deda976fae494d3ccd9b30e0ceaff9aa0e5ec14bade2ba72
13608,439,604f2c77643c3fe42c4933ad26df5843f26be3b4ceda64351d86a7352846c7e4,8192,8192,e6c713680c31add1909dfdb01bf6c715565daa30cbf5143833606a5ad5cc01ce,122,0.985107421875,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,42,8631,f62dfcc86d44d88ac1d31674709c3a95a891bf755e11119fd015f57d0b908d6e
13825,306,827d39e43afff93e2db2f3717787d69bc4e97f80d99102ffd45759bf6718a3d3,8192,8192,72aee32c883d5398d1b3f393a3e80f76ebe975594ec2d101d6f3a63037559205,217,0.9735107421875,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,43,8498,1219f29c3107d0781ad350ae574c201431ea23068d7680d908176f89aca527b5
13974,235,d249f43028311113ad62d323f4e8639cf441aae452337c7b54f0139267bdfc37,8192,8192,1d879ca91e0fa1ebe2de146b19fbf2b5403862881a4fcd7fbcac2f686f2e8854,149,0.9818115234375,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,44,8427,f45c26472dafbfa090708e063af58a17640618b42343655af3576cf37d3eaaf8
14088,337,5323056dc7b2dfc090beb8df12b0c763d94a40d76fe82532bea52677bef7a759,8192,8192,87852f95a7c1e6fc6b8b16fc70c80b4ceab5e5b9de5ea30ff3a639d297f6940f,114,0.986083984375,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,45,8529,c17fc51164594fc4bf9bf6e2178187db1af4a4e1caea9e32dde00caef40cc7c6
14247,407,5b3a8e62b3aaffb5ee3a1a6b14fbc439717df9ef252ac7f74c2a41103f9b34b0,8192,8192,3d5e272320dd9971e8bf50c881f0bdd660301df31d31efa15325d034f60e10ea,159,0.9805908203125,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,46,8599,6ec32a900eda077a4783937f8b4b71523f5541ab4aa51e51f42ecdc2cd93d557
14434,360,bf84a17691f412e72d1bc134425eab79321b5d03cf54c9c3c7c265c561a31a7a,8192,8192,dd71631e308d53e3bdf9ec09b610068c2657d482fa419abf7d2c6b6c7c496858,187,0.9771728515625,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,47,8552,9340615c1a97ad3e3b445fa24610cd9b9f4dbb55e1cccc2fe1b2c401b3ca55d1
14596,367,293987e2926fc0e7e88d830b54100807e83f026d289312e2696242366fe7fceb,8192,8192,a46fa996c163c988a5266fc0b7d1c5c0ece6b0cd2d460562ea95d689f8a2ab89,162,0.980224609375,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,48,8559,b4141fb8cadc375955dea8b7e35512e4ad9056b9eabf51946540b86e356b4acf
14759,333,4a715f87f5de3d1dd57296820bb3b5e7e482eac7a0bd39ea013f961f5a992cee,8192,8192,13dff58350c1a37896f63f9b307460d960128f1393630903f3b556f929cba127,163,0.9801025390625,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,49,8525,1040bb514304a45080767e18a1d49b7c8ba3c3f922a722ec1c8671d3689bc9f9
14904,355,b172df1a2227a1b2910b8b1b0c061a2e7e1f12d159b3fbbe72451d33e58fb382,8192,8192,dc481456bcc730833967d7a172af455dd5006d7397ba1c5b6df76a30cb11628b,145,0.9822998046875,imagenetr50-integrator-history-bottom-k-v1,static,Fixed replay,imagenetr50-replay-selection-v1,50,8547,6a5f8dd5c50174c61147208074e9b23cc8b54669e3f46da48776c93fc5863a04
0,381,6c03b64b0075ee41c42ff3ec57c8118210741d1c0c2542f94c19a1cf4b05fb7f,8192,0,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,0,,none,rotating,Rotating replay,imagenetr50-replay-selection-v1,1,381,6c03b64b0075ee41c42ff3ec57c8118210741d1c0c2542f94c19a1cf4b05fb7f
381,412,a8cf5b64ad54f4b2363640358f71e5aa9f14170f51e3aaf1757e78b45de40c8f,8192,381,6c03b64b0075ee41c42ff3ec57c8118210741d1c0c2542f94c19a1cf4b05fb7f,381,0.0,imagenetr50-integrator-history-stage-draw-v1:1993:2,rotating,Rotating replay,imagenetr50-replay-selection-v1,2,793,fc9305307fccfc157fe2f9a61130ca85697ba5bb588e5fd590171f761f954dea
793,469,67e615451dfa6f2b4db4fe98627f14aec8a5ac1d471ccabb917b3b33b47f4bba,8192,793,24b3df1f2fd26995a6f636df33482d7f858c216ea0e7dd0eb515b74be0a757a9,412,0.48045397225725095,imagenetr50-integrator-history-stage-draw-v1:1993:3,rotating,Rotating replay,imagenetr50-replay-selection-v1,3,1262,36d35ae39ea7e06498f210381c6e31f09797c238244ba4d4b5bb5aab04196fd2
1262,565,b4c350f6488c0543e2b064d832b262dd45d1179f4b547392793b74bdc1e49cee,8192,1262,44e293f884f696044fc47a750bd8c243592e1722fc266c544f6d6dd507c55dfb,469,0.6283676703645008,imagenetr50-integrator-history-stage-draw-v1:1993:4,rotating,Rotating replay,imagenetr50-replay-selection-v1,4,1827,fb60fac92d3da5d9f37c5f20b04464b76ddb94becb94dbac9d2ea8fb89b7c77a
1827,413,b9059d28b9d20c0269e1bb94225d417ac50162d6e12942f6bc07fd3eccdf3761,8192,1827,75f01783688cad3f42f5a54d1ce9371ea52b4ed2f08b8ebd90002d5a4670ef04,565,0.6907498631636563,imagenetr50-integrator-history-stage-draw-v1:1993:5,rotating,Rotating replay,imagenetr50-replay-selection-v1,5,2240,a1031b85ca58e78bb05052bd3c74f731cbfbdf79c6055be540fe052107b1c46a
2240,387,24b3e8ca7065a505699802b2e500b15495e679a122820e8f27f607353879d45e,8192,2240,d22bfdaffe8916f7aa19de2a917e511dd23f707f6df3e0ed8110549d5d61ddf2,413,0.815625,imagenetr50-integrator-history-stage-draw-v1:1993:6,rotating,Rotating replay,imagenetr50-replay-selection-v1,6,2627,6c186279a8a696d9ea18e3c36c30945ef8ac6c0defecc72a8f1df2420747b1ea
2627,369,6332bd6895c91af04a8aa3ce804f3c42d883ac45346cd9ae32ed84407129adc3,8192,2627,6b571ff4fc45b0b8c1c98bbde10e041846e87dfc8f471013004b007edb102f70,387,0.852683669585078,imagenetr50-integrator-history-stage-draw-v1:1993:7,rotating,Rotating replay,imagenetr50-replay-selection-v1,7,2996,852de640c390a2d650ad2fa3ade40054c67f721613eee0b84163237d022e5ecb
2996,428,cab923a2955fe7b30ad64dca9756bc8394c5437cdd10bcf986f8f8d34788eb59,8192,2996,41fe7598046442805685dbbc97c477a04265b647f4d4d6c39e9f7b96125d011d,369,0.8768357810413885,imagenetr50-integrator-history-stage-draw-v1:1993:8,rotating,Rotating replay,imagenetr50-replay-selection-v1,8,3424,f37d834c1d5379ee6679b77a6852e30cd70b4f46cfa0db6a878de285f47fa977
3424,424,70e03ba89d9ba1f7ed65f72eb186e28460bc2834a67e56a74bbf933627a7db09,8192,3424,8e4f0283d4ac7459806697f0100af2f278cdd4fd4d5d7414128b7a31202ab944,428,0.875,imagenetr50-integrator-history-stage-draw-v1:1993:9,rotating,Rotating replay,imagenetr50-replay-selection-v1,9,3848,cd156336a9f3f29f5520b01ebfbe7992ccf05feceafa600ebb3d0f07ec88e0a5
3848,438,50121a602576a1fe392bb30255e3f7fb032227b54888ecd71cbb64815c3ac9db,8192,3848,fd30f5e7647e40a5a47a59c4667ea31bcc18b6cddbe6ee74bd04039ae72baef0,424,0.8898128898128899,imagenetr50-integrator-history-stage-draw-v1:1993:10,rotating,Rotating replay,imagenetr50-replay-selection-v1,10,4286,3bc8f5c0bf140fa687ca0946e80db87d3587dbe44256c9dddc24a12f00f03db6
4286,316,96d77dae9a0fffa4ba687b756ff809bff61f8b2424db0793cdaed68f3417609f,8192,4286,6c2974af0c435d96f01765a9d1764825ad476a7807c8963c334db995c5f63af3,438,0.8978068128791414,imagenetr50-integrator-history-stage-draw-v1:1993:11,rotating,Rotating replay,imagenetr50-replay-selection-v1,11,4602,9157e35631345efddbe31a108068f9621d4780a465adf41a7d096ba9c3336cff
4602,368,3db84bfcaac94f684cfd23987cd5daeaa7e4eca582e6b1ba0560252a8c36f883,8192,4602,93dcec7d69d613348ffa3786d130ffd99385559d6cee5d4eba2a2fe7f0faf1c4,316,0.9313342025206433,imagenetr50-integrator-history-stage-draw-v1:1993:12,rotating,Rotating replay,imagenetr50-replay-selection-v1,12,4970,c7410969bf0849ff05582b2273207e2a2289229f8eb392f505c3a1550a3266b2
4970,409,75bb746f522e5c3914e60058d8d6ca4d1d338219b48284ffc870bcd39ab26357,8192,4970,162b71d4723bc409223d7f9e418759bbc806ad976c1d1a385957d3437961db0d,368,0.9259557344064386,imagenetr50-integrator-history-stage-draw-v1:1993:13,rotating,Rotating replay,imagenetr50-replay-selection-v1,13,5379,39b2f92e614e95291836f3f27765e806ec7e9ea5ac11daa79bdca5cb1b63d3bb
5379,420,2c97821b01cdb7e231cb8065f45bf9fd3bbdac0e8381fb4849832a808e894360,8192,5379,6d2d4d145196d65d7c6336faf553e095f846d185cdf86a55866355e063482d06,409,0.9239635620003718,imagenetr50-integrator-history-stage-draw-v1:1993:14,rotating,Rotating replay,imagenetr50-replay-selection-v1,14,5799,c90d2326f344a6c19462740df6f6fba6e642435501bbcba80bc730fd7274b123
5799,372,a78d40395af9f44b6e49cb1b42808959c4945b60f1d1b4b83cc1b8c42ade9858,8192,5799,0fc2bae4553bd577a5ed5d36bc9e245ec0e52b4a6559cf96b68ca6812bbde027,420,0.9275737196068288,imagenetr50-integrator-history-stage-draw-v1:1993:15,rotating,Rotating replay,imagenetr50-replay-selection-v1,15,6171,d358f17de97ece7417e51f481b84ada23fcfcec06e82541957848601dae88927
6171,423,63c3f49df4997c7866a2c0d07f737adfdbe6cec5ee76ba2e79fdc4ef49b82098,8192,6171,345764d707851c7600601679090a3b129e126650a0648d4749a6775f13bd6809,372,0.9397180359747205,imagenetr50-integrator-history-stage-draw-v1:1993:16,rotating,Rotating replay,imagenetr50-replay-selection-v1,16,6594,e2e68ddf0ae9b61552046effba70713b35771d268afe12139eb83e7a67c7f6bd
6594,399,a2d26c0323f048998a5c8391b365c24b651d85d55cc0b959b4b15834bac6040d,8192,6594,96f94e52af1d0e960f105c172cb3dbb771eb3ee4a9be332d6cee2a90684df507,423,0.9358507734303912,imagenetr50-integrator-history-stage-draw-v1:1993:17,rotating,Rotating replay,imagenetr50-replay-selection-v1,17,6993,702b2fbbd0daa9c2d6d5c5ad4fb9a1eb1b6be86dd51e0090de787fc35c56258a
6993,338,a1f4733a6bf53b26b1c7964aa3b93f4b234bc594786979ba1ba2689b0f88e1b7,8192,6993,1d6300c4f9e29537644dba02f260c820657bffb32dfd107dc14bcd2463a66b0f,399,0.9429429429429429,imagenetr50-integrator-history-stage-draw-v1:1993:18,rotating,Rotating replay,imagenetr50-replay-selection-v1,18,7331,56c3d57b37f7b73564df1a9d898f9ed400507719d977bd20afb58d2e39f66b13
